drug,label,count,drug_id,genes
Benzocaine+Mepivacaine,17,30,"6469, 5570","['SCN3A', 'SNAP25', 'SCN5A', 'SCN8A', 'SCN7A', 'SCN4A', 'SCN11A', 'CES1', 'ABCB1', 'SCN9A', 'SCN10A', 'SCN2A', 'SCN1A', 'GPER1', 'PAK1', 'SCN2A', 'SCN5A', 'SCN9A', 'SCN8A', 'SCN1A', 'SCN3A', 'SCN10A', 'SCN4A']"
Metacycline+Retapamulin+Quinupristin+Alcaftadine+Tripelennamine+Metipranolol+Acetophenazine+Isoetharine+Avanafil+Buclizine+Guanethidine+Ceftibuten+Azatadine+Dimenhydrinate+Pirbuterol+Hydroxyzine+Practolol,1,30,"5645, 6271, 5957, 12535, 6392, 6338, 6531, 5535, 9494, 4486, 6211, 9636, 6115, 5589, 5956, 3147, 5953","['ALB', 'CYP3A4', 'CYP3A4', 'HRH1', 'HRH1', 'CYP2D6', 'ADRB2', 'ADRB1', 'DRD1', 'DRD2', 'ADRB1', 'ADRB2', 'CYP3A4', 'PDE5A', 'HRH1', 'CHRM1', 'CYP3A4', 'SLC6A2', 'SLC15A1', 'SLC15A2', 'CYP3A4', 'HRH1', 'CHRM2', 'HRH1', 'ADRB1', 'ADRB2', 'CYP2D6', 'HRH1', 'ADRB1', 'CDK6']"
Bismuth subsalicylate+Cefradine+Artemether+Chlorzoxazone+Bupivacaine,23,30,"5944, 6018, 12696, 4481, 5255","['PTGS1', 'TF', 'PTGS2', 'ALB', 'SLC15A1', 'CYP3A4', 'SLC15A2', 'SLC22A6', 'SLC22A5', 'CYP2C19', 'CYP2C9', 'CYP3A5', 'CYP2B6', 'CYP2D6', 'CYP3A4', 'KCNMA1', 'CYP2E1', 'CYP3A4', 'CYP1A1', 'CYP2D6', 'CYP2A6', 'CYP1A2', 'CYP2C19', 'CYP2D6', 'CYP1A2', 'SCN10A', 'PTGER1', 'SCN4A', 'CYP3A4']"
Nafcillin+Fosphenytoin+Mirabegron+Benzyl alcohol,23,30,"2004, 6007, 13813, 12479","['MIF', 'CYP3A4', 'SLC22A6', 'CYP1A2', 'CYP2C9', 'ALB', 'CYP2C19', 'CYP2C8', 'SCN5A', 'CYP2B6', 'CYP3A4', 'CYP2D6', 'BCHE', 'CYP3A4', 'ALB', 'ABCB1', 'SLCO1A2', 'ADRB3', 'ALDH2', 'CYP2E1', 'CYP2B6', 'CYP3A4', 'CYP2C8', 'CYP2D6', 'CYP1A2', 'CYP1A1']"
Econazole+Dronabinol+Montelukast,7,30,"6558, 3778, 3780","['CYP2E1', 'CYP51A1', 'PCNA', 'CYP19A1', 'CYP3A4', 'TSC22D3', 'CYP17A1', 'CYP3A4', 'CNR1', 'CYP2C9', 'ABCG2', 'CNR2', 'CYP1A1', 'ABCB1', 'CYP2C19', 'PTGS1', 'CYP2A6', 'CYP3A4', 'CYP2A6', 'PTGS1', 'SLCO2B1', 'CYP2C9', 'ALOX5', 'CYP2C8', 'CYSLTR1']"
Dexfenfluramine+Acenocoumarol,23,30,"6245, 9635","['HTR2C', 'CES1', 'CYP2E1', 'HTR2B', 'CYP2D6', 'CYP2C19', 'CYP1A2', 'CYP2C9', 'CYP2A6', 'SLC6A4', 'CYP1A2', 'ALB', 'CYP3A4', 'PROS1', 'CYP2C9', 'VKORC1', 'CYP2C19']"
Buspirone+Itraconazole,23,30,"3873, 6193","['DRD2', 'HTR2A', 'ABCB1', 'TLR4', 'DRD3', 'CYP3A7', 'CYP2D6', 'HTR2B', 'HTR1A', 'CYP3A4', 'CYP3A5', 'CDK6', 'CYP2B6', 'CYP1A1', 'CYP3A4', 'CYP51A1', 'CYP2D6', 'CYP2E1', 'CYP3A7', 'CYP3A5', 'ABCB1']"
Felypressin+Travoprost+Methyl aminolevulinate+Candoxatril+Ardeparin+Tirofiban+Fondaparinux+Icatibant+Pentosan polysulfate+Baclofen+Vapreotide+Pasireotide+Pregabalin,20,30,"390, 5194, 5799, 2039, 3997, 6418, 3178, 9943, 2529, 513, 10953, 12733, 5279","['AVPR1A', 'PTGFR', 'FCGR1A', 'ACE', 'MME', 'SERPIND1', 'SERPINC1', 'ITGB3', 'ITGA2B', 'F10', 'SERPINC1', 'ANPEP', 'BDKRB2', 'FGF4', 'FGF2', 'FGF1', 'GABBR2', 'SLC22A8', 'GABBR1', 'TACR1', 'SSTR2', 'SSTR5', 'SSTR5', 'SSTR3', 'SSTR2', 'SSTR1', 'CACNA2D2', 'CACNA2D1', 'CACNA1A', 'SLC1A1']"
Astemizole,0,30,2602,"['CYP2D6', 'CYP3A7', 'CYP2J2', 'NPC1', 'KIT', 'HRH1', 'FDPS', 'CYP3A4', 'LIPA', 'ABCB1', 'CYP3A5', 'FDFT1', 'KCNH2', 'HMGCR']"
Carvedilol,23,30,6575,"['CYP3A4', 'CYP1A2', 'GJA1', 'ADRB1', 'CYP2C9', 'TUBB6', 'HMGCR', 'ADRA2A', 'VCAM1', 'KCNH2', 'ADRA2C', 'ADRB2', 'ADRB3', 'PTGS1', 'CYP2E1', 'VEGFA', 'CYP1A1', 'ADRA2B', 'CYP2D6', 'NDUFC2', 'SELE', 'ADRA1D', 'ADRA1B', 'XDH', 'ABCB1', 'ADRA1A', 'HIF1A']"
Quinestrol+Trovafloxacin+Trimetrexate+Progabide+Dydrogesterone+Chlormerodrin+Deferiprone+Fludarabine+Indacaterol+Etofenamate,0,30,"11571, 2524, 6611, 5805, 4537, 3324, 13923, 6546, 9228, 13654","['ESR1', 'TOP2A', 'DHFR', 'GABRA1', 'GABBR1', 'PGR', 'GPER1', 'SLC12A1', 'ALDH5A1', 'HSPA8', 'UGT1A6', 'BTK', 'LPL', 'POLA1', 'SLC29A1', 'DCK', 'RRM1', 'SLC28A3', 'ADRB2', 'CYP3A4', 'UGT1A1', 'ADRB1', 'ABCB1', 'CES1']"
Azapropazone+Streptomycin+Testolactone+Oxamniquine+Fosamprenavir+Rolitetracycline+Josamycin+Sodium lauryl sulfate+Deferasirox+Voacamine+Carisoprodol+Gadobenic acid+Sulfamoxole+Antazoline+Cefpiramide+Acetylcarnitine+Sofosbuvir+Lutein+Ximelagatran+Carbenicillin+Carmustine+Dyclonine+Atovaquone+Tafluprost,4,30,"14108, 6476, 6098, 6490, 6067, 6066, 6005, 5877, 9078, 10893, 4467, 6148, 13956, 13952, 3911, 13864, 13697, 558, 10950, 3191, 5339, 2626, 6640, 13913","['ALB', 'SLC22A6', 'CYP19A1', 'CYP2D6', 'CYP3A4', 'CYP3A4', 'CYP3A4', 'ALB', 'CYP3A4', 'ABCB1', 'CYP2C19', 'ALB', 'CYP2C9', 'HRH1', 'ALB', 'SLC22A5', 'ABCB1', 'ALB', 'CYP2C9', 'F2', 'SLC22A6', 'PLA2G4A', 'GSR', 'CYP1A2', 'HMOX1', 'SCN10A', 'DHODH', 'CYP2C9', 'PTGFR', 'PTGS2']"
Norgestimate+Carprofen+Sulindac,3,30,"5540, 5925, 2007","['ESR1', 'MYC', 'CDK6', 'ABCC2', 'PGR', 'PTGS1', 'NT5E', 'PTGS2', 'SLC22A6', 'TRIB3', 'VEGFA', 'MAPK3', 'AKR1B1', 'PPARD', 'CYP1A1', 'CYP1A2', 'ALB', 'PTGS2', 'PTGDR2', 'PTGS1', 'SLC22A6']"
Piperacillin+Dicloxacillin,3,30,"4602, 3814","['PSMD10', 'SLC22A6', 'MALT1', 'FPGS', 'CTSD', 'TBP', 'SLC15A1', 'CYP3A4', 'SLC15A2', 'SELL', 'SLCO1B1']"
Betahistine+Primaquine+Isosorbide dinitrate,4,30,"12693, 6470, 6082","['ASS1', 'CCNB1', 'MYLK', 'HRH1', 'TGFBR2', 'HRH3', 'CYP1A1', 'SENP8', 'CYP1B1', 'CYP1A2', 'CYP3A4', 'CYP2D6', 'NQO2', 'PSMB8', 'CYP2E1', 'GUCY1B1', 'PROS1', 'GUCY1A1', 'CYP3A4', 'NPR1', 'GUCY1A2', 'GHR']"
Fluoxymesterone+Dexrazoxane+Mitiglinide+Ticarcillin+Procarbazine+Drospirenone,11,30,"6214, 4577, 6263, 9080, 6194, 5987","['AR', 'ESR1', 'NR3C1', 'PRLR', 'SHBG', 'TOP2B', 'PCNA', 'TOP2A', 'KCNJ11', 'PPARG', 'ABCC8', 'UGT1A3', 'UGT2B7', 'PAK1', 'GET1', 'CYP1B1', 'XDH', 'BCHE', 'NR3C2', 'AR', 'PTGS2', 'PGR']"
Ethynodiol diacetate+Niflumic acid+Adefovir dipivoxil,11,30,"5895, 11537, 6111","['PGR', 'SIRT3', 'ESR1', 'FHL2', 'PLA2G4A', 'PLA2G1B', 'SLC16A7', 'PTGS2', 'UGT1A9', 'PTGS1', 'AK2', 'NME2', 'ABCC5', 'SLC22A3', 'AK4', 'ABCC4', 'SLC22A8', 'NME1', 'SLC22A6']"
Hydroxyproline+Forasartan+Ceruletide+Framycetin+Acetohydroxamic acid+Nafarelin+Gonadorelin+Sodium stibogluconate+Brotizolam+Degarelix+Icosapent ethyl+Carglumic acid+Aluminium+Cetrorelix+Benzylpenicilloyl polylysine+Phylloquinone+Azelaic acid+Goserelin+Enoxaparin,9,30,"13852, 6034, 4031, 3967, 3148, 2733, 2617, 8106, 12660, 12692, 13782, 12472, 5978, 1516, 6099, 6816, 3753, 1517, 6350","['SLC36A1', 'AGTR1', 'CCKAR', 'CXCR4', 'MMP12', 'GNRHR', 'GNRHR', 'TOP1', 'PTAFR', 'GNRHR', 'DGAT1', 'CPS1', 'TF', 'ATP1A1', 'LHCGR', 'GNRHR', 'FCER1G', 'FCER1A', 'BGLAP', 'GGCX', 'TYR', 'SRD5A2', 'AKR1D1', 'LHCGR', 'GNRHR', 'MPO', 'SERPINC1', 'F10']"
Duloxetine+Carbamoylcholine,15,30,"3768, 4054","['SLC6A3', 'HTR2A', 'HTR2C', 'HTR6', 'NPY1R', 'CYP2D6', 'CYP1A2', 'SLC6A4', 'PIN1', 'HMOX1', 'SLC6A2', 'CHRM1', 'PLA2G4A', 'NME1', 'TYMS', 'CHRM2', 'CHRNA2', 'CHRM3']"
Rimexolone+Fospropofol,18,30,"6096, 12837","['PRKCD', 'GJA1', 'NR3C1', 'PRKAG2', 'SERPINA6', 'FKBP5', 'NFKBIA', 'TSC22D3', 'GABRA6', 'GABRA2', 'GABRD', 'GABRG3', 'ALB', 'ALPL', 'GABRA3', 'GABRG1', 'GABRA1', 'GABRA5', 'GABRG2', 'GABRA4', 'GABRB1', 'GABRB3', 'GABRB2']"
Conjugated estrogens,16,30,5197,"['ESR1', 'ABCC11', 'SLCO1A2', 'SLCO1B3', 'SLCO1B1', 'SLCO1C1', 'CYP1A2', 'ABCC1', 'ABCB1', 'ESR2', 'ABCG2', 'SLC22A11', 'SLCO2B1', 'ABCC4', 'SLC10A1', 'ABCC2', 'ABCC3', 'SLC22A6', 'SLC22A8', 'COMT', 'CYP3A4']"
Bleomycin+Levomenthol+Nelarabine+Aluminium monostearate+Vigabatrin+Moexipril+Miglitol,9,30,"5258, 5892, 5940, 5980, 6482, 2575, 3875","['LIG1', 'LIG3', 'OPRK1', 'TRPM8', 'TRPA1', 'TRPV3', 'ADA', 'POLA1', 'DCK', 'VDAC2', 'VDAC1', 'TNNC1', 'VDAC3', 'ABAT', 'SLC36A1', 'GABBR1', 'ACE', 'SLC15A1', 'SLC15A2', 'ACE2', 'GAA', 'GANAB', 'MGAM', 'AMY2A']"
Bedaquiline+Posaconazole+Nepafenac+Lumefantrine+Antrafenine+Choline magnesium trisalicylate+Floctafenine+Salsalate+Mometasone+Luliconazole+Piperazine+Oxaprozin+Pefloxacin+Cyclacillin,3,30,"13939, 6279, 12636, 12824, 9625, 5764, 13624, 5990, 6404, 13696, 3115, 5797, 3802, 6778","['CYP3A4', 'ABCB1', 'CYP3A4', 'PTGS2', 'PTGS1', 'CYP2D6', 'CYP3A4', 'PTGS2', 'PTGS1', 'PTGS2', 'PTGS1', 'PTGS1', 'PTGS2', 'PTGS1', 'PTGS2', 'CYP2C8', 'NR3C1', 'CYP2C19', 'CYP3A4', 'GABRB3', 'CYP2D6', 'PTGS2', 'PTGS1', 'CYP2C9', 'TOP2A', 'CYP1A2', 'SLC15A1', 'SLC15A2', 'SLC22A5']"
Chlorthalidone+Oxymetazoline,19,30,"4623, 5635","['CA7', 'CA2', 'CA9', 'GJA1', 'CA4', 'TUBB6', 'CA1', 'CA5A', 'CA12', 'CA5B', 'SLC12A1', 'SLC12A3', 'HTR2A', 'ADRA2A', 'ADRA1B', 'ADRA1D', 'HTR2B', 'ADRA1A', 'HTR2C', 'ADRA2C', 'HTR1B', 'HTR1D', 'HTR1E', 'ADRA2B']"
Zileuton+Iopanoic acid,14,30,"6188, 13709","['CYP2C9', 'PTGS1', 'CDK6', 'CYP1A2', 'EPHX2', 'FKBP4', 'PLA2G4A', 'LTB4R', 'ALOX5', 'UGT1A9', 'CYP3A4', 'FHL2', 'NFKBIA', 'FKBP5', 'TSC22D3', 'MUC1', 'RGS2', 'FOSL1']"
Kanamycin+Oxiconazole+Ethosuximide,3,30,"6202, 5274, 3125","['EPHB2', 'PTGS2', 'CDKN1B', 'GDF15', 'PAK1', 'PARP2', 'CYP2C19', 'CYP3A4', 'COL11A1', 'CYP2E1', 'CYP3A43', 'CYP3A5', 'CYP3A4', 'CYP3A7', 'CACNA1G']"
Emedastine+Dacarbazine+Paromomycin,3,30,"6471, 5832, 9660","['HRH1', 'PTGS2', 'PROS1', 'CYP1A1', 'CYP2E1', 'PGD', 'CYP1A2', 'POLA2', 'GET1', 'STXBP2', 'GDF15', 'NME1']"
Eprosartan+Gadoxetic acid+Cortisone acetate+Chlorphenesin+Atazanavir+Glutethimide,3,30,"6072, 13791, 5985, 5833, 6554, 9671","['KRT18', 'ABCC2', 'AGTR1', 'CYP2C9', 'GPER1', 'SLCO1B1', 'ABCC3', 'ABCC2', 'ABCC4', 'SLCO1B3', 'CYP3A4', 'NR3C1', 'GJA1', 'PTGS2', 'CYP3A4', 'XDH', 'BCHE', 'CYP19A1', 'SLCO1B3', 'ABCC1', 'CYP3A4', 'ABCB1', 'CYP2C9', 'CYP11A1', 'GABRG2', 'GABRB3', 'GABRA1', 'CYP2D6']"
Flucloxacillin+Mestranol+Abiraterone+Streptozocin,3,30,"5033, 6039, 7646, 4377","['GJA1', 'CYP3A4', 'DPYSL2', 'TRIB3', 'IKZF1', 'SRC', 'ADRB2', 'ESR1', 'CYP2C9', 'HSD17B10', 'CYP3A4', 'ALB', 'ABCC1', 'CYP2D6', 'SULT2A1', 'CYP17A1', 'CYP2C8', 'CYP1A1', 'ABCB1', 'CYP1A2', 'CYP2E1', 'CDC25B', 'SLC2A2']"
Ioflupane I-123+Levallorphan+Isoaminile+Polythiazide+Propylhexedrine+Drotaverine+Demecarium+Ambenonium+Echothiophate+Amrinone+Ethanolamine oleate+Trimethaphan+Methyclothiazide,21,30,"13925, 3069, 13713, 5999, 12835, 12530, 5672, 6571, 6519, 9656, 12745, 6639, 5276","['SLC6A3', 'OPRM1', 'CA4', 'SLC12A3', 'TAAR1', 'SLC18A2', 'PDE4A', 'CACNA1C', 'ACHE', 'BCHE', 'BCHE', 'ACHE', 'BCHE', 'ACHE', 'PDE3A', 'TNF', 'PDE4B', 'F12', 'CYP2E1', 'CHRNA3', 'BCHE', 'CHRNA10', 'CHRNB4', 'CA1', 'CA2', 'SLC12A1', 'SLC12A3', 'CA4']"
Eltrombopag+Trimethoprim+Oseltamivir+Moricizine+Simeprevir,3,30,"9486, 3942, 5133, 2533, 13946","['CYP1A2', 'SLCO1B1', 'MPL', 'CYP2C8', 'UGT1A1', 'UGT1A3', 'TYMS', 'DHFR', 'CYP2C9', 'CYP2C8', 'CYP3A4', 'ABCB1', 'ABCC4', 'SLC15A1', 'CES1', 'SLC22A8', 'SCN5A', 'CES1', 'CYP3A4', 'CYP1A2', 'CTSS', 'ABCB1', 'SLCO1B1', 'ALB']"
Cetirizine+Ramelteon+Ospemifene+Nilutamide+Etravirine+Alverine,3,30,"4789, 5596, 10728, 2729, 13280, 9110","['CDK6', 'HRH1', 'MTNR1A', 'CYP1A2', 'MTNR1B', 'CYP3A4', 'CYP2C19', 'CYP2C19', 'CYP2B6', 'CYP2C9', 'CYP3A4', 'ESR1', 'POR', 'AR', 'CYP2C19', 'CYP2C9', 'CYP2C8', 'CYP2C9', 'CYP3A4', 'CYP2C19', 'ABCB1', 'ABCB4', 'HTR1A', 'PCNA', 'TYMS']"
Dicyclomine+Lisdexamfetamine+Phendimetrazine+Trospium+Frovatriptan+Trihexyphenidyl+Droperidol,19,30,"5863, 6266, 9269, 5382, 5796, 4541, 3968","['CHRM1', 'CHRM3', 'CHRM2', 'CYP1A1', 'ADRA1B', 'SLC18A2', 'SLC6A3', 'SLC6A2', 'ADRA1B', 'SLC6A2', 'SLC6A3', 'ADRA1A', 'CHRM2', 'CHRM3', 'CYP2D6', 'CHRM1', 'HTR1D', 'HTR1A', 'HTR1B', 'CYP1A2', 'CHRM2', 'CHRM5', 'CHRM4', 'CHRM3', 'CHRM1', 'ADRA1A', 'DRD2', 'KCNH2', 'HTR2A']"
Bretylium+Praziquantel,14,31,"6603, 6520","['TRIB3', 'SLC6A2', 'ATP1A1', 'CDK6', 'GHR', 'PROS1', 'CYP2C19', 'CASP7', 'CYP3A4', 'CYP2D6', 'CYP3A43', 'PAK6', 'CYP3A5', 'CYP3A7', 'CYP1A2']"
Alfacalcidol+Aminocaproic acid,13,31,"9665, 3267","['CYP27B1', 'IGFBP3', 'VDR', 'GC', 'HMOX1', 'FKBP4', 'PLAT', 'PLG', 'CCL2', 'PAK6', 'AOX1', 'PAX8']"
Iloperidone,15,31,10741,"['HTR2A', 'ADRA2A', 'HTR6', 'HRH1', 'HTR1D', 'HTR1A', 'PAK6', 'HTR7', 'DRD1', 'CYP1A2', 'ADRA2C', 'CYP2D6', 'SIGMAR1', 'ADRA1A', 'CYP3A5', 'CYP2E1', 'HTR2C', 'DRD2', 'DRD4', 'DRD3', 'PIK3C2B', 'CYP3A7', 'CYP3A4']"
Amoxapine,15,31,3749,"['DRD2', 'SLC6A4', 'HRH4', 'CYP2D6', 'HTR2B', 'HTR1A', 'HTR3A', 'CHRM1', 'HTR6', 'HMGCR', 'DRD1', 'HTR2A', 'FDFT1', 'ADRA1A', 'HTR2C', 'SLC6A2', 'ADRA2A', 'HRH1', 'SLC6A3', 'DRD3', 'DRD4', 'HTR7', 'HTR1B', 'GABRA1']"
Dihydrotachysterol+Gentian violet cation+Phenacemide+Indecainide+Regadenoson+Incadronic acid+Emtricitabine+Sertaconazole+Ingenol mebutate+Acetic acid+Azlocillin+Succimer+Cilastatin+Pentolinium+Tasosartan+Butoconazole,13,31,"6557, 4028, 6566, 5137, 9487, 9451, 6071, 6607, 9215, 7406, 6541, 3161, 9294, 6493, 6032, 2594","['VDR', 'SLC22A1', 'SCN1A', 'SCN5A', 'ADORA2A', 'FDPS', 'DCK', 'CYP51A1', 'PRKCA', 'PRKCD', 'SLCO2B1', 'SIRT3', 'NPTX2', 'KIT', 'DPEP1', 'SLC22A8', 'SLC22A6', 'CHRNB4', 'CHRNA10', 'CHRNA3', 'AGTR1', 'AGTR2', 'CYP3A4', 'DCK']"
Diosmin+Halofantrine+Alfentanil+Bifonazole,7,31,"13504, 6342, 5872, 10826","['GHR', 'MMP1', 'ABL1', 'CYP3A5', 'CYP2C8', 'CYP2D6', 'CYP3A4', 'HMOX1', 'KCNH2', 'CYP3A5', 'CYP3A4', 'ALB', 'CYP3A7', 'ABCB1', 'OPRM1', 'CYP19A1', 'CYP51A1', 'CYP17A1', 'CYP3A4', 'CYP2B6', 'CYP2C19', 'CYP2E1']"
Ciprofloxacin+Anastrozole+Zafirlukast,7,31,"3326, 6341, 3754","['ABCB1', 'CYP3A7', 'CYP3A4', 'CYP3A5', 'TOP2A', 'CDH3', 'CYP1A2', 'CYP2C9', 'CYP3A4', 'ADRB2', 'ABCC5', 'CYP1A2', 'CYP19A1', 'CYP2C8', 'CYP2E1', 'CYP2C19', 'PTGS1', 'CYP2C9', 'CYP1A2', 'CYP3A4', 'ABCG2', 'CYSLTR1', 'CYP2D6', 'CYSLTR2']"
Captopril,14,31,6231,"['REN', 'F2', 'NPC1', 'ACE', 'LTA4H', 'SLC22A6', 'COL11A1', 'ABCB1', 'SLC15A1', 'MMP9', 'SLC25A4', 'ALB', 'GMNN', 'MMP2', 'CYP2D6']"
Glycerol phenylbutyrate+Dimetacrine+Fosaprepitant+Milrinone+Remikiren+Metyrosine+Gadopentetic acid+Deserpidine+Sodium tetradecyl sulfate+Carboprost tromethamine+Hexafluronium+Glymidine+Pentagastrin+Norelgestromin+Vildagliptin+Probucol+Glisoxepide+Cysteamine,2,31,"13933, 13507, 12833, 5272, 5409, 6405, 6439, 6475, 3991, 4059, 5652, 5984, 478, 12836, 10892, 9288, 5939, 5817","['PNLIP', 'ACHE', 'TACR1', 'PDE3A', 'REN', 'TH', 'PGD', 'SLC18A2', 'PROC', 'PROS1', 'PTGER1', 'PTGFR', 'ACHE', 'BCHE', 'KCNJ1', 'ABCC8', 'BCHE', 'CCKBR', 'STS', 'PGR', 'DPP4', 'DPP9', 'ABCA1', 'CES1', 'ABCC8', 'KCNJ8', 'KCNJ11', 'NPY2R', 'SST', 'MPO']"
Decamethonium+Succinylcholine+Indapamide,12,31,"6254, 5388, 5867","['CHRM2', 'HRH3', 'BCHE', 'CHRND', 'ACHE', 'CHRNA1', 'CHRNG', 'CHRNB1', 'CHRNA2', 'CHRNE', 'CHRM1', 'CHRND', 'CHRNB1', 'CHRM2', 'BCHE', 'CHRNG', 'CHRNA10', 'CHRM3', 'CHRNE', 'CHRNA1', 'CA5B', 'CA12', 'KCNQ1', 'CA9', 'KCNE1', 'CA2', 'CA7', 'CA4', 'SLC12A3', 'CYP3A4', 'CA5A']"
